"run","random_seed","tick","ID","ChosenMode"
1,1772241571,1.0,12,"Intentional0"
1,1772241571,1.0,6,"IntentionalAll"
1,1772241571,1.0,9,"Intentional0"
1,1772241571,1.0,8,"Intentional0"
1,1772241571,1.0,2,"IntentionalAll"
1,1772241571,1.0,5,"IntentionalAll"
1,1772241571,1.0,13,"Intentional0"
1,1772241571,1.0,7,"Intentional0"
1,1772241571,1.0,11,"IntentionalAll"
1,1772241571,1.0,4,"IntentionalAll"
1,1772241571,1.0,10,"IntentionalAll"
1,1772241571,1.0,14,"Intentional0"
1,1772241571,1.0,1,"IntentionalAll"
1,1772241571,1.0,3,"IntentionalAll"
1,1772241571,1.0,15,"Intentional0"
