"run","random_seed","tick","ID","WalkIntentionStrength","TakeCarIntentionStrength","RideBikeIntentionStrength"
1,1772274092,1.0,7,0.9536497647912128,1.2461630741484364,1.1515426816318748
1,1772274092,1.0,3,0.8463266081714453,1.8626204885892668,0.9597000217592015
1,1772274092,1.0,9,1.1450915487518614,1.477612451424988,0.9252948383165325
1,1772274092,1.0,11,1.2469522664779316,1.473684652158731,1.056938123435071
1,1772274092,1.0,13,1.6412621078076328,1.5440337429696613,1.6812745451835727
1,1772274092,1.0,6,1.6927275223312743,2.0966323078590943,1.1423426532765601
1,1772274092,1.0,12,0.9367596082469672,1.0227432785483237,1.0289889757280228
1,1772274092,1.0,10,0.981225826735105,2.0784935855116906,0.9982905859137066
1,1772274092,1.0,8,0.9515971747586778,1.749722711787384,0.9498495291824263
1,1772274092,1.0,5,0.6371266940025144,1.1972328119290094,0.8368594467503498
1,1772274092,1.0,14,1.0896617863131783,1.7698866234735426,1.4009139222416764
1,1772274092,1.0,15,1.01735074348038,1.4593367134002324,0.8286745046335247
1,1772274092,1.0,1,0.6550228137696338,0.9326848333042352,0.7927826381092936
1,1772274092,1.0,4,0.19105662588516448,0.3440483156446336,0.20542779814580708
1,1772274092,1.0,2,1.5719060442459174,2.151994601373573,1.7419763205268444
