"run","random_seed","tick","ID","WalkIntentionStrength","TakeCarIntentionStrength","RideBikeIntentionStrength"
1,1390104466,1.0,14,1.2680770241366015,1.0050744948194983,1.1887323135037429
1,1390104466,1.0,7,1.2021252987237723,1.3419485089530616,1.3765127908067016
1,1390104466,1.0,2,0.9483241182441092,1.194377866070148,0.9494263720881078
1,1390104466,1.0,9,0.8308180572448345,1.494152484291667,1.4661358801028523
1,1390104466,1.0,10,0.8443058533371557,1.1161109437473122,1.031240949255478
1,1390104466,1.0,11,0.8456410966546817,1.4683169605290884,1.2529577598165722
1,1390104466,1.0,8,0.9054032971292185,1.109594702015083,0.7854562184677953
1,1390104466,1.0,5,0.6625897345738594,1.0868419851311613,0.6870378908781241
1,1390104466,1.0,3,1.0445970345850044,1.6998147583661776,0.9488902846832052
1,1390104466,1.0,15,1.1035359753950746,1.0091865071953117,0.9665454259686809
1,1390104466,1.0,4,0.8514904674539017,1.7448867174719929,0.7257165148224805
1,1390104466,1.0,13,0.7166728149291792,1.0818486044046594,0.7118920109347064
1,1390104466,1.0,6,1.0821220766459938,1.5180021806936717,1.000002803506164
1,1390104466,1.0,12,0.44953085479802324,0.6047324805338355,0.5158132196866625
1,1390104466,1.0,1,1.6075165365266657,3.41939426778236,2.0833491581729993
